Microspongium alariae
Microtendipes pedellus
Molanna angustata
Molophilus fergusonianus
Monachoides incarnatus
Monocillium mucidum
Monopylephorus rubroniveus
Morina chinensis
Mortierella verticillata
Murshidia africana
Murshidia indica
Murshidia linstowi
Mycodrosophila gratiosa
Myrionema balticum
Myrmica rubra
Myrmica scabrinodis
Mythimna ferrago
Mytilina ventralis
Myzocytiopsis osiris
Nais alpina
Nais barbata
Nais bretscheri
Nais christinae
Nais communis
Nais elinguis
Nais stolci
Nannochloropsis limnetica
Nannochorista philpotti
Natarsia punctata
Navicula cryptocephala
Navicula minima
Navicula ramosissima
Neanura muscorum
Nebria salina
Nemastoma lugubre
Nematopogon swammerdamellus
Nemoura avicularis
Nemoura cinerea
Nemoura dubitans
Nemoura flexuosa
Nemurella pictetii
Nepa cinerea
Nephroselmis olivacea
Nephrotoma altissima
Nitzschia palea
Noctua fimbriata
Noctua pronuba
Nothophytophthora caduca
Nothophytophthora intricata
Notidobia ciliaris
Notocelia trimaculana
Ocalea picata
Ochlerotatus cantans
Ochlerotatus refiki
Ochlerotatus rusticus
Octolasion cyaneum
Octolasion tyrtaeum
Ocypus brunnipes
Ocypus globulifer
Ocypus olens
Oedalea stigmatella
Oesophagostomum bifurcum
Ohelopapa flexilis
Olea europaea
Oligia strigilis
Oncopsis subangulata
Oniscus asellus
Opacifrons convexa
Operophtera brumata
Operophtera fagata
Ophidonais serpentina
Ophyiulus pilosus
Orchesella flavescens
Orchesella villosa
Orfelia nemoralis
Orthocladius decoratus
Orthocladius dorenus
Orthocladius frigidus
Orthocladius glabripennis
Orthocladius kanii
Orthocladius lamellatus
Orthocladius mixtus
Orthocladius oblidens
Orthocladius rivulorum
Orthocladius telochaetus
Oryza sativa
Oscheius chongmingensis
Oscheius tipulae
Osmundaria fimbriata
Oxychilus draparnaudi
Pachygnatha degeeri
Paecilomyces penicillatus
Pagastia orthogonia
Panagrellus redivivus
Paracalliope fluviatilis
Parachironomus arcuatus
Paracladopelma winnelli
Paracyclops fimbriatus
Paradromius linearis
Parakiefferiella bathophila
Parakiefferiella scandica
Parakiefferiella tamatriangulata
Paralemanea annulata
Paramerina cingulata
Parametriocnemus stylatus
Paraphaenocladius impensus
Paraplaconeis kornevae
Parapoynx stratiotata
Parapristionchus giblindavisi
Parastegana femorata
Paratanytarsus grimmii
Paratanytarsus inopertus
Paratanytarsus lauterborni
Parathyas pachystoma
Paratrichocladius rufiventris
Paravannella minima
Parisotoma notabilis
Parvamoeba rugata
Parydra paullula
Pasiphila rectangulata
Paxillus involutus
Paxillus rubicundulus
Pedospumella encystans
Pedospumella sinomuralis
Pelodera strongyloides
Pentas lanceolata
Perca fluviatilis
Pericoma diversa
Peronospora aestivalis
Peronospora arthurii
Peronospora conglomerata
Peronospora dipsaci
Peronospora farinosa
Peronospora ficariae
Peronospora oblatispora
Peronospora perillae
Peronospora saturejaehortensis
Peronospora scutellariae
Peronospora sparsa
Peronospora trifoliorum
Peronospora valerianellae
Pestalotiopsis fici
Petalonia fascia
Phaenopsectra flavipes
Phania thoracica
Phasmarhabditis papillosa
Philodina acuticornis
Philodina citrina
Philodina flaviceps
Philodina plena
Philonthus cognatus
Philonthus decorus
Philoscia muscorum
Phryganea grandis
Phygadeuon fumator
Phyllonorycter stettinensis
Phyllotreta nemorum
Phyllotreta vittula
Physa fontinalis
Phytophthora aleatoria
Phytophthora amnicola
Phytophthora aquimorbida
Phytophthora austrocedrae
Phytophthora balyanboodja
Phytophthora bilorbang
Phytophthora bisheria
Phytophthora boehmeriae
Phytophthora borealis
Phytophthora brassicae
Phytophthora cactorum
Phytophthora cambivora
Phytophthora chlamydospora
Phytophthora chrysanthemi
Phytophthora citricola
Phytophthora citrophthora
Phytophthora clandestina
Phytophthora constricta
Phytophthora cooljarloo
Phytophthora crassamura
Phytophthora cryptogea
Phytophthora dauci
Phytophthora drechsleri
Phytophthora elongata
Phytophthora europaea
Phytophthora foliorum
Phytophthora frigida
Phytophthora gemini
Phytophthora gonapodyides
Phytophthora heveae
Phytophthora hibernalis
Phytophthora himalsilva
Phytophthora humicola
Phytophthora hydrogena
Phytophthora idaei
Phytophthora ilicis
Phytophthora infestans
Phytophthora insolita
Phytophthora inundata
Phytophthora ipomoeae
Phytophthora lactucae
Phytophthora lacustris
Phytophthora litchii
Phytophthora macrochlamydospora
Phytophthora megasperma
Phytophthora mengei
Phytophthora mississippiae
Phytophthora morindae
Phytophthora multivora
Phytophthora nagaii
Phytophthora nicotianae
Phytophthora niederhauserii
Phytophthora obscura
Phytophthora palmivora
Phytophthora parsiana
Phytophthora pini
Phytophthora pisi
Phytophthora plurivora
Phytophthora polonica
Phytophthora primulae
Phytophthora pseudosyringae
Phytophthora pseudotsugae
Phytophthora ramorum
Phytophthora rhizophorae
Phytophthora richardiae
Phytophthora rosacearum
Phytophthora syringae
Phytophthora taxon
Phytophthora tentaculata
Phytophthora thermophila
Phytophthora vignae
Picea glauca
Picromerus bidens
Pinnularia acrosphaeria
Pinnularia acuminata
Pinnularia grunowii
Pinnularia neglectiformis
Pinnularia neomajor
Pinnularia parvulissima
Pinnularia sp. 12 CS-2011
Pinnularia subanglica
Pinnularia subcommutata
Pinnularia viridiformis
Pinus sylvestris
Piona coccinea
Piona dispersa
Piona imminuta
Pisidium amnicum
Pisidium casertanum
Pisidium nitidum
Pisidium subtruncatum
Pisum sativum
Placoneis minor
Planorbarius corneus
Planorbis planorbis
Plasmopara nivea
Plasmoverna anemonesNranunculoidis
Platybunus pinetorum
Plea minutissima
Plectrocnemia conspersa
Plectus acuminatus
Plectus aquatilis
Pleuretra lineata
Plumatella fungosa
Pluteus cervinus
Poa annua
Podosphaera xanthii
Poecilus cupreus
Pogonognathellus flavescens
Pollenia angustigena
Pollenia griseotomentosa
Pollenomyia sinensis
Polyarthra dolichoptera
Polydesmus angustus
Polydesmus denticulatus
Polypedilum albicorne
Polypedilum asakawaense
Polypedilum convictum
Polypedilum cultellatum
Polypedilum japonicum
Polypedilum nubeculosum
Polypedilum pullum
Polypedilum sordens
Polypedilum tamanigrum
Polyphemus pediculus
Polytoreutus finni
Polyzonium germanicum
Porcellio scaber
Postandrilus majorcanus
Potamophylax cingulatus
Potamopyrgus antipodarum
Potamothrix bavaricus
Potamothrix hammoniensis
Potamothrix heuscheri
Potthastia longimanus
Pristina aequiseta
Pristina jenkinae
Proasellus coxalis
Procladius crassinervis
Procladius denticulatus
Procladius sagittalis
Procladius signatus
Prodiamesa olivacea
Prostoma graecense
Protaphorura campata
Protobremia sphaerosperma
Prototheca ciferrii
Prunus avium
Psallus falleni
Psammoryctides albicola
Psammoryctides barbatus
Psammotettix confinis
Psathyrella candolleana
Psectrocladius limbatellus
Pseudachorutes dubius
Pseudocandona compressa
Pseudogymnoascus bhattii
Pseudogymnoascus pannorum
Pseudogymnoascus roseus
Pseudoparamoeba microlepis
Pseudopedinella elastica
Pseudoperonospora cubensis
Psychoda sigma
Psyllopsis fraxinicola
Ptychoptera albimana
Ptychoptera contaminata
Ptychoptera lacustris
Ptychoptera longicauda
Ptychoptera minuta
Ptychoptera paludosa
Punctoribates punctum
Pungitius pungitius
Pyropia haitanensis
Pythiogeton ramosum
Pythiogeton zeae
Pythiopsis cymosa
Pythiopsis terrestris
Pythium acanthicum
Pythium acrogynum
Pythium adhaerens
Pythium afertile
Pythium anandrum
Pythium angustatum
Pythium aphanidermatum
Pythium apleroticum
Pythium aquatile
Pythium aristosporum
Pythium arrhenomanes
Pythium attrantheridium
Pythium baisense
Pythium barbulae
Pythium biforme
Pythium brachiatum
Pythium breve
Pythium buismaniae
Pythium burgundicum
Pythium camurandrum
Pythium cederbergense
Pythium cedri
Pythium coloratum
Pythium contiguanum
Pythium cylindrosporum
Pythium deliense
Pythium dimorphum
Pythium dissimile
Pythium dissotocum
Pythium echinulatum
Pythium emineosum
Pythium ershadii
Pythium flevoense
Pythium grandisporangium
Pythium helicandrum
Pythium inflatum
Pythium insidiosum
Pythium irregulare
Pythium jasmonium
Pythium junctum
Pythium kashmirense
Pythium longandrum
Pythium macrosporum
Pythium mamillatum
Pythium middletonii
Pythium monospermum
Pythium myriotylum
Pythium nodosum
Pythium nunn
Pythium okanoganense
Pythium oligandrum
Pythium oopapillum
Pythium pachycaule
Pythium pectinolyticum
Pythium periplocum
Pythium perplexum
Pythium phragmitis
Pythium pleroticum
Pythium plurisporium
Pythium porphyrae
Pythium prolatum
Pythium pyrilobum
Pythium rostratum
Pythium segnitium
Pythium senticosum
Pythium sukuiense
Pythium sulcatum
Pythium sylvaticum
Pythium terrestris
Pythium torulosum
Pythium tracheiphilum
Pythium uncinulatum
Pythium urmianum
Pythium utonaiense
Pythium vanterpoolii
Pythium viniferum
Pythium volutum
Pythium yorkensis
Quercus macrocarpa
Ramazzottius oberhaeuseri
Rana arvalis
Reclinomonas americana
Rhabdomastix parva
Rhamphomyia pendens
Rheocricotopus atripes
Rheocricotopus chalybeatus
Rheocricotopus fuscipes
Rheotanytarsus illiesi
Rheotanytarsus pentapoda
Rhinoncus pericarpius
Rhizoctonia solani
Rhizopus oryzae
Rhodachlya madagascarensis
Rhodomela lycopodioides
Rhodotorula mucilaginosa
Rhyacodrilus coccineus
Rhyacodrilus falciformis
Rhyacodrilus subterraneus
Rhyacophila fasciata
Rhynchelmis tetratheca
Rhynchosporium orthosporum
Rhynchosporium secalis
Ricinus communis
Rilaena triangularis
Ripella decalvata
Ripella platypodia
Ripella tribonemae
Rotaria macroceros
Rotaria neptunoida
Rotaria rotatoria
Rubus allegheniensis
Salix glauca
Salmo trutta
Salpingus planirostris
Saprolegnia anisospora
Saprolegnia asterophora
Saprolegnia diclina
Saprolegnia eccentrica
Saprolegnia ferax
Saprolegnia furcata
Saprolegnia litoralis
Saprolegnia monilifera
Saprolegnia monoica
Saprolegnia parasitica
Saprolegnia semihypogyna
Saprolegnia terrestris
Saprolegnia torulosa
Saprolegnia turfosa
Saprolegnia unispora
Sapromyces elongatus
Sarcophaga lehmanni
Satchellius mammalis
Scatella tenuicosta
Scatopsciara vitripennis
Schendyla nemorensis
Scirtes hemisphaericus
Sclerotinia borealis
Scopalina ruetzleri
Scopulariopsis brevicaulis
Scytosiphon lomentaria
Sellaphora bacillum
Sellaphora bisexualis
Sellaphora blackfordensis
Sellaphora capitata
Sellaphora laevissima
Sellaphora obesa
Sellaphora pupula
Sellaphora sp. DaM-2019a
Seoda morula
Sericostoma flavicorne
Sericostoma personatum
Serratella ignita
Sheathia arcuata
Sheathia boryana
Sheathia involuta
Shiraia bambusicola
Sialis lutaria
Sigara striata
Silo nigricornis
Silo pallipes
Simocephalus vetulus
Simulium angustipes
Simulium aureum
Simulium erythrocephalum
Simulium intermedium
Simulium juxtacrenobium
Simulium kiritshenkoi
Simulium latipes
Simulium lundstromi
Simulium naturale
Simulium noelleri
Simulium ornatum
Simulium panagudiense
Simulium parahiyangum
Simulium vernum
Simulium vittatum
Siphlonurus aestivalis
Siphona geniculata
Sitobion fragariae
Sitona lepidus
Skeletonema menzelii
Skeletonema potamos
Slavina appendiculata
Sminthurides malmgreni
Sminthurinus aureus
Sminthurinus elegans
Sminthurinus reticulatus
Sminthurus viridis
Somatochlora flavomaculata
Specaria josinae
Spelobia maculipennis
Spelobia tufta
Sperchonopsis phreaticus
Sperchon thienemanni
Sphaerium corneum
Sphaerium rhomboideum
Spilogona sororcula
Spirosperma ferox
Spongilla lacustris
Spongonema tomentosum
Spongospora subterranea
Sporothrix schenckii
Spumella vulgaris
Stagnicola palustris
Stagnicola turricula
Steinernema scapterisci
Stempellina bausei
Stempellinella flavidula
Stenophylax lateralis
Stenophylax permistus
Stenophylax sequax
Stenostomum sthenum
Stephanodiscus binderanus
Stephanodiscus meyeri
Stephanodiscus neoastraea
Stephanodiscus reimerii
Steudnera kerrii
Stigeoclonium helveticum
Stigmatogaster subterranea
Stilobezzia gracilis
Stylaria lacustris
Stylodrilus heringianus
Succinea putris
Succinella oblonga
Sydowia polyspora
Sylvicola stackelbergi
Sympherobius fuscescens
Symplecta stictica
Synchaeta kitina
Synchaeta lakowitziana
Synchaeta oblonga
Synchaeta pectinata
Synchaeta tremula
Synchaetomella acerina
Synendotendipes kaluginae
Synorthocladius semivirens
Synura sphagnicola
Taeniothrips inconsequens
Tanytarsus bathophilus
Tanytarsus brundini
Tanytarsus ejuncidus
Tanytarsus eminulus
Tanytarsus excavatus
Tanytarsus heusdensis
Tanytarsus lestagei
Tanytarsus palettaris
Tanytarsus striatulus
Tanytarsus usmaensis
Taphrina deformans
Taphrina flavorubra
Taphrina wiesneri
Tasserkidrilus kessleri
Tephrosia virginiana
Teratorhabditis synpapillata
Testudinella patina
Tetracladium apiense
Tetracladium breve
Tetracladium furcatum
Tetracladium marchalianum
Tetracladium maxilliforme
Tetracladium palmatum
Tetracladium setigerum
Tetragnatha montana
Thalassiosira pseudonana
Thaumalea subafricana
Thaumatomyia notata
Thelephora ganbajun
Thelonectria veuillotiana
Theodoxus fluviatilis
Thermocyclops oithonoides
Thienemanniella minuscula
Thienemanniella obscura
Tinodes waeneri
Tipula coloradensis
Tipula lateralis
Tipula limbata
Tipula luna
Tipula maxima
Tipula oleracea
Tipula paludosa
Tipula senega
Tipula spenceriana
Tipula ultima
